codigo;articulo;unidades;venta
1318;"Fleurot-Larose, Chassagne-Montrachet Abbaye de Morgeot 2021 - Chardonnay";2;442
914;"2021 Kalamity Oxer Wines";2;440
1367;"Anne Claude Leflavie, Clau de Nell 2022 - Chenin Blanc (IGP Vall de Loire)";5;440
1393;"'Garrus Chateau d''es Clans 2022 - Grenache, Vermentino (A.O.C. Provence)'";2;440
1422;"Oxer Bastegieta Kalamity 2022 - Tempranillo (D.O. Toro)";2;440
86;"PIÑA COLADA";30;435
1434;"Oxer Wines Ahari 2023 - Tempranillo, Graciano, Viura (D.O.Ca. Rioja)";5;425
1300;"'Jean-Marie Bouzerau Bourgogne Cote d''Or 2023 - Chardonnay (A.O.C. Bourgogne)'";6;420
1410;"Terroir al Límit Les Manyes 2017 - Garnacha (D.O.Ca. Priorat)";1;420
280;"LIMONCELLO";115;413.4
1538;"Enric Soler Nun Vinya dels Taus";3;405
928;"GRAMONA IMPERIAL";8;400
1233;"Enric Soler Improvisació 2022 - Xarello (D.O. Penedés)";4;400
1237;"Pazo La Cuesta, La Pastoriza 2022 - Godello";4;400
1307;"Laurent Tribut Dauvissat Chablis 2023 - Chardonnay (A.O.C. Chablis)";4;400
1380;"Julien Schaal Grand Cru Rosacker 2022 - Riesling (A.O.C. Alsace)";5;400
1482;"'Clos Rougeard ''Les Clos'' 2015 - Cabernet Franc (A.O.C. Saumur-Champigny)'";1;400
1865;"Enric Soler Improvisació 2024";4;400
1196;"Veuve Fourny & Fils Blanc de Blancs - Brut Nature";5;390
1379;"Armand Heitz Rully 1er Cru Marissou 2022 - Chardonnay (A.O.C. Rully)";3;390
1572;"PARGO 1,0 KG";3;390
1697;"LUBINA 1,0 KG";3;390
70;"CAMPARI SPRITZ";28;387.8
1301;"Domaine de la Cras Bourgogne Chardonnay Coteaux de Dijon 2023 - Chardonnay (A.O.C. Bourgogne)";6;385
976;"DON JULIO 1942";11;380
1462;"Domaine Duroché Gevrey-Chambertin Jeunes Rois 2023 - Pinot Noir (A.O.C. Gevrey-Chambertin)";1;380
1957;"LANGOSTA 0,9 KG";2;378
1465;"Philippe Pacalet, Nuits-Saint-Georges Aux 2021 - Pinot Noir (A.O.C. Nuits-Saint-Georges)";1;375
1965;"LANGOSTA 1,7 KG";1;374
1505;"tinto Bourgogne cote dor";28;373.8
1065;"Domaine Pavelot Corton Charlemagne";1;370
1208;"Adrien Dhondt-Grellet Les Nogers - Extra Brut";1;370
1296;"Viñedos Catena, Catena Alta 2020 - Chardonnay (Argentina)";4;370
107;"NEGRONI";24;368
226;"GIN MARE";27;364
1801;"DENTON 1,4 KG";2;364
844;"2017 Gevrey Chambertin David Duband";2;360
943;"J. Desjourneys Saint Veran";3;360
1190;"Frerejean Frères VV26 - Brut";1;360
1357;"J. Desjourneys Saint-Veran 2019 - Chardonnay (A.O.C. Saint-Véran)";3;360
1364;"Fleurot-Larose Santenay Clos du Passetemps 2021 - Chardonnay (A.O.C. Beaune)";2;360
1459;"David Duband, Gevrey Chambertin 2017 - Pinot Noir (A.O.C. Gevrey-Chambertin)";2;360
1868;"Envinate Palo Blanco";4;360
1185;"Agrapart et fils Terroirs Blanc de Blancs - Extra Brut";2;357
166;"ICED COFFEE";108;352
200;"FANTA NARANJA";73;352
930;"Jacquesson 746 blanc de blancs extra brut";2;350
1324;"Pascal Arnoux & Fils, Corton Charlemagne Grand Cru 2015 - Chardonnay";1;350
1181;"'Château d''Yquem, Sauternes 1999 - Semillon, Sauvignon Blanc'";6;340
1536;"CHERRY";22;336
2023;"La Calma";4;330
1086;"Langosta Brasa";1.3;325
1637;"DORADA 2,5 KG";1;325
2039;"Bourgogne Blanc Pierre Damoy";3;324
1735;"RODABALLO 2,3 KG";1;322
987;"chateau d,Esclans";4;320
1248;"Remelluri Blanco 2022 - Garnacha Blanca, Chardonnay (D.O. Rioja)";2;320
1276;"Sangarida La Guiana 2021 - Godello (D.O. Bierzo)";4;320
1373;"Pierre-Yves Colin-Morey 1er Cru Hommage à Margueritte 2018 - Chardonnay (A.O.C. Saint-Aubin)";1;320
1416;"Vega Sicilia Alión 2021 - Tempranillo (D.O. Ribera del Duero)";1;320
1893;"Domain Comte Lafon Mersault Clos de la Barre";1;320
1922;"Overtura M.Cantalapiedra 2023";2;320
2021;"Michel Juillot Corton Perriers";1;320
1799;"DENTON 1,2 KG";2;312
82;"MOJITO FRESA";20;310.4
1457;"Domaine Méo-Camuzet, Vosne-Romanée 1er Cru Les Chaumes 2014 - Pinot Noir";1;310
229;"SEAGRAMS";42;309.4
